Data,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108
,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000
116,0.943130087,1.226609926,0.379597321,1.254795939,0.862545372,1.469778153,0.727370622,1.152730916,0.059664155,1.682150914,1.446884867,1.529924245,1.427415828,1.348079964,0.486111773,0.346369507,1.088748453,0.719350552,1.035225465
117,1.265036133,0.946890992,0.86761841,1.281185946,0.891471065,0.75816427,1.085740358,1.263640803,0.905985867,1.804208753,1.076929359,1.00320646,0.823815678,0.720371137,1.031962924,1.140118355,1.113337457,1.036130561,0.821073284
118,0.828678107,0.828953617,0.987834175,1.019855562,0.925362506,0.931805345,0.789653913,0.93964947,1.108936845,0.754649554,0.895150842,0.849602172,1.060329347,0.986576361,1.107895945,0.988930358,0.981869412,1.015431579,1.165375049
119,0.556644448,1.123613123,1.210138863,2.028772659,0.883271615,1.301818111,0.516592745,0.247863568,1.600377713,2.374280266,1.733277285,2.175105367,0.981628408,1.861099736,1.405108171,0.570046399,0.719094464,1.766249304,1.306267313
120,0.912951321,0.812812013,0.894690492,0.890981743,0.853692617,0.793978052,0.827371866,1.046432604,0.957201423,1.059280489,0.822862305,0.858055859,0.990006117,0.868400823,0.871233605,0.88404998,0.927767426,0.914056257,0.96088639
121,0.90935014,0.918055699,1.521867777,1.377915559,1.098803164,1.758577515,1.514156531,1.26327006,1.277828099,1.343691559,1.521984953,1.727064175,1.15755332,1.717196425,1.335901437,1.564830756,1.317965325,1.370756773,0.906086221
122,1.17117788,1.291669404,1.031368984,1.063934609,0.842646121,0.609094927,0.76885491,1.018352636,1.005353399,0.793606487,1.113094931,0.774476047,1.174979579,0.7440616,0.787587614,0.934672221,0.669168325,0.790936974,1.313935658
123,1.20853738,1.047089268,0.808603068,0.78673829,0.887409973,0.855827655,0.888067357,0.861316559,0.991801509,0.69605071,0.877065677,0.694987022,0.937814369,0.906218523,0.895127532,0.85828689,0.798896185,0.973982988,0.96450601
124,1.133199789,1.080046726,0.82307095,0.908714261,0.822088314,0.830732685,0.928316661,0.872018221,0.994944382,0.662106983,0.88739052,0.767145911,0.880653374,0.941706792,0.851399497,0.828184117,0.826423014,0.958432037,1.011922082
125,0.976589686,0.989415081,0.781819938,1.045563581,0.830083982,0.851448662,1.152119859,1.034132806,1.329240402,1.416917986,1.085579189,1.129521164,1.152887779,1.035077062,0.958855138,1.120136843,0.873684174,1.110747565,0.993929136
